scenario,param_beta,param_alpha,param_delta,param_eps,param_eta,param_sep,param_gamma,param_sigma,param_tau_w,param_tau_c,param_rr,param_pop_savers,param_match_eff,param_vac_cost,param_z_i,param_omega,param_home_prod,y_f,y_i,y_tot,k,inv,r,l_f,l_i,u,v,theta,p_find,p_fill,w_f,w_i,s_w,p,pidx,cf_sav,ci_sav,cf_spd,ci_spd,inc_sav,inc_spd,gov_rev,gov_exp,lump_tax,unemployment,informal_share,informal_output_share,wage_gap,replacement_rate,real_c_sav,real_c_spd,inequality_ratio,walras_gap
Baseline,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.375,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.0852262673655835,0.3603508690073717,3.4455771363729553,30.677076324089448,0.7669269081022364,0.04022842639593897,0.66722,0.24678000000000003,0.086,0.086,1.0,0.5430860465116281,0.5430860465116281,2.555369238847963,1.4602109936274072,1.6306704068203621,1.0,1.1759451832153032,1.661664973157032,0.2726147707352325,0.5347766043163826,0.08773609827213913,2.266612738523671,0.7294680234517982,1.0786608643237348,0.03296426318113872,-1.0456966011425959,0.086,0.27,0.10458360232408005,1.7500000000000002,0.15,1.9274816299908073,0.6203248534572553,3.1072132919523985,4.440892098500626e-16
Unfunded (savers absorb),0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.375,0.2,0.2,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.0799940106416925,0.35431558566454396,3.43767103388175,30.62505085660145,0.7656262714150363,0.04022842639593895,0.6660884569529819,0.24192467983118213,0.09198686321583603,0.08013030511190494,0.8711059635101251,0.5068788124376633,0.5818796262112509,2.5699719527963083,1.4784643860628381,1.5219545495515736,1.0094871287392249,1.177275895965091,1.659605120716382,0.26718317843864503,0.5412219064743766,0.08713240722589895,2.261244124509106,0.7374253313598618,1.0821011501071025,0.047280731698081814,-1.0348204184090206,0.09198686321583603,0.2664330173547786,0.10404632081277873,1.7382711257862375,0.2,1.920742735206869,0.6263827654055087,3.066404188121963,4.440892098500626e-16
Labour tax 37.5% to 38.6%,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.3863194595946736,0.2,0.2,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.0546269631434946,0.36119840410349974,3.414342255701272,30.37282078179277,0.7593205195448193,0.04022842639593893,0.6606025055299779,0.24746298821821683,0.09193450625180523,0.07886070874781222,0.8577922693337324,0.5029904142895253,0.5863778822350659,2.571540179901376,1.453612498369151,1.4829263717300252,0.9958939144556774,1.1753623306127354,1.6525111453562962,0.27335319714916206,0.5310535419820256,0.08784520695433765,2.255244159965409,0.7247487573983552,1.0929792564917735,0.047282655349182266,-1.0456966011425912,0.09193450625180523,0.2725166740966792,0.105354198735386,1.7690685673014368,0.2,1.918765049063393,0.6166173089965644,3.1117599539750898,-4.440892098500626e-16
VAT 20.0% to 20.6%,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.375,0.20597116104388505,0.2,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.0733361915210984,0.3563545206262953,3.433435946593922,30.558850711906956,0.763971267797674,0.04022842639593908,0.664648617638561,0.24356336105719262,0.09178802130424636,0.07995709273692324,0.8711059635101234,0.5068788124376628,0.5818796262112516,2.5699719527963008,1.4784643860628337,1.5219545495515694,1.0105098552978786,1.182575564499211,1.6577788380770548,0.2690064882314807,0.5382908070499355,0.0873480323948146,2.2710671776067524,0.737429237133099,1.0928751292135144,0.04717852807091649,-1.0456966011425979,0.09178802130424636,0.2681789788843834,0.10488028921292473,1.7382711257862378,0.2,1.9204414887166117,0.6235789570414305,3.0797086191428646,8.881784197001252e-16
