tau_w,feasible,param_beta,param_alpha,param_delta,param_phi,param_p_informal_prod,param_p_sep_rate,param_p_match_eff,param_p_vac_cost,param_p_bargain,param_p_match_elast,param_tau_w,param_tau_c,param_p_ben_level,param_pop_savers,param_legacy_accounting,y_f,y_i,y_tot,k,inv,r,l_f,l_i,u,v,theta,w_f,w_i,p_find,p_fill,c_sav,c_spd,lf_sav,lf_spd,li_spd,gov_rev,gov_exp,lump_tax,unemployment_formal,unemployment_total,informal_employment_share,informal_output_share,replacement_rate,consumption,inequality_ratio,walras_gap
0.3208333333333333,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.3208333333333333,0.0,0.3,0.5,False,3.754125773920955,0.5784900787191916,4.332615852640147,37.32808971419193,0.9332022428547984,0.04022842639593911,0.8118781514894768,0.48207506559932634,0.18812184851052324,0.1401530206267558,0.7450119257089688,2.700836761423447,1.2,0.302099256701086,0.4054958669468305,1.9990302210570787,1.3513298315089053,0.40593907574473836,0.40593907574473836,0.48207506559932634,0.7035074063130232,0.056436554553156965,-0.6470708517598662,0.18812184851052324,0.1269313902359257,0.3725598879717781,0.13351981767935406,0.11107668715301705,3.350360052565984,1.4793059210606978,0.0
0.34791666666666665,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.34791666666666665,0.0,0.3,0.5,False,3.6606218784188695,0.6039703530595935,4.264592231478463,36.39836012863187,0.9099590032157967,0.04022842639593899,0.791656727272776,0.5033086275496612,0.20834327272722408,0.12032457120068067,0.5775303883136033,2.7096311871688274,1.2,0.26598397051028544,0.46055406934856247,1.9779065362739066,1.3346130920685213,0.39582836363638796,0.39582836363638796,0.5033086275496612,0.7463152615506324,0.06250298181816721,-0.6838122797324653,0.20834327272722408,0.13858982041952098,0.388665708835642,0.14162440868354886,0.11071617474017066,3.312519628342428,1.4820074432271173,8.881784197001252e-16
0.37499999999999994,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.37499999999999994,0.0,0.3,0.5,False,3.5274977455457903,0.6345056962945259,4.162003441840316,35.07467789892871,0.8768669474732178,0.04022842639593883,0.7628669153633154,0.528754746912105,0.23713308463668462,0.09816697344406063,0.41397417654505625,2.7195642151894455,1.2,0.2251928876025382,0.543978103856506,1.9323694059297645,1.3184086477319126,0.3814334576816577,0.3814334576816577,0.528754746912105,0.7779995864902602,0.07113992539100537,-0.7068596610992549,0.23713308463668462,0.15511519105053576,0.409372777149471,0.15245198740488453,0.11031179125112217,3.2507780536616773,1.4656832001626068,8.881784197001252e-16
0.4020833333333333,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.4020833333333333,0.0,0.3,0.5,False,3.315358640655968,0.6750237380366738,3.9903823786926416,32.96533260362019,0.8241333150905048,0.04022842639593913,0.7169890959431414,0.5625197816972283,0.2830109040568586,0.07265774658605846,0.2567312620981596,2.7312167903789852,1.2,0.17734029324162215,0.6907623629171318,1.8379075279623285,1.3029113243346881,0.3584945479715707,0.3584945479715707,0.5625197816972283,0.7873807559795865,0.08490327121705761,-0.7024774847625288,0.2830109040568586,0.18112468550602837,0.43963726358398525,0.16916267013434189,0.1098411525063786,3.1408188522970164,1.4106159748828861,0.0
0.42916666666666664,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.42916666666666664,0.0,0.3,0.5,False,2.891813695349237,0.7422606180186127,3.63407431336785,28.753933021264395,0.7188483255316098,0.04022842639593899,0.6253920350089796,0.6185505150155106,0.3746079649910204,0.04176261414645022,0.11148351890342567,2.745943842657784,1.2,0.11686201720691652,1.0482447841294809,1.6120136708138046,1.2885954020711776,0.31269601750448983,0.31269601750448983,0.6185505150155106,0.7370042291723052,0.11238238949730607,-0.6246218396749991,0.3746079649910204,0.2314465699499225,0.497250065932171,0.2042502585288985,0.10925205218677438,2.9006090728849823,1.2509851177668276,-4.440892098500626e-16
0.45624999999999993,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.45624999999999993,0.0,0.3,0.5,False,1.0209557630478536,0.9945564341699487,2.015512197217802,10.151585378949001,0.25378963447372505,0.04022842639593909,0.2207948607939399,0.8287970284749572,0.7792051392060602,0.002502569251670365,0.0032116950027052675,2.7695708379873776,1.2,0.019835136445998932,6.175909116305081,0.48315599075508203,1.2776906727509107,0.11039743039696998,0.11039743039696998,0.8287970284749573,0.2790000722322727,0.23376154176181804,-0.045238530470454626,0.7792051392060602,0.426075243492627,0.7896374171224431,0.49345096275915723,0.1083200313511415,1.7608466635059927,0.3781478577399575,4.440892098500626e-16
0.4833333333333333,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5104166666666666,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5375,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5645833333333333,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5916666666666667,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.61875,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.6458333333333334,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.6729166666666666,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.7,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
