scenario,balances_budget,param_beta,param_alpha,param_delta,param_phi,param_p_informal_prod,param_p_sep_rate,param_p_match_eff,param_p_vac_cost,param_p_bargain,param_p_match_elast,param_tau_w,param_tau_c,param_p_ben_level,param_pop_savers,param_legacy_accounting,y_f,y_i,y_tot,k,inv,r,l_f,l_i,u,v,theta,w_f,w_i,p_find,p_fill,c_sav,c_spd,lf_sav,lf_spd,li_spd,gov_rev,gov_exp,lump_tax,unemployment_formal,unemployment_total,informal_employment_share,informal_output_share,replacement_rate,consumption,inequality_ratio,walras_gap
baseline,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.35,0.0,0.3,0.5,False,3.652086902319656,0.6061026136414888,4.258189515961145,36.313495003506475,0.9078373750876619,0.04022842639593909,0.7898109285340744,0.5050855113679074,0.21018907146592547,0.11871241420522358,0.5647887084579869,2.7103496580923405,1.2,0.26303348985652647,0.4657201638727393,1.975456093004552,1.3333467028971024,0.39490546426703727,0.39490546426703727,0.5050855113679074,0.7492323230384729,0.06305672143977767,-0.6861756015986952,0.21018907146592547,0.13965257779599094,0.39005861457626695,0.1423381019960736,0.11068682562941076,3.3088027959016544,1.4815772137226357,-8.881784197001252e-16
debt_lumpsum,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.35,0.0,0.4,0.5,False,3.4494832052388245,0.627767696820506,4.0772509020593315,34.298962343573436,0.8574740585893362,0.04022842639593906,0.7459952641219785,0.5231397473504217,0.25400473587802147,0.08763756820025097,0.3450233630381459,2.7243388272457087,1.2,0.20558541283897763,0.5958593963860008,1.8500232951323963,1.3390803994675105,0.3729976320609893,0.3729976320609893,0.5231397473504217,0.7113203520461232,0.10160189435120856,-0.6097184576949146,0.25400473587802147,0.16676390746146275,0.41220180880794993,0.1539683752362245,0.14682461520559018,3.1891036945999067,1.3815625229583406,-8.881784197001252e-16
labour_tax,False,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.42129575338323744,0.0,0.4,0.5,False,0.7321171553147277,1.0090272331850192,1.7411443884997468,7.279600232025292,0.1819900058006323,0.04022842639593915,0.15832978395655922,0.8408560276541828,0.8416702160434408,0.0011913607020846218,0.0014154720927218036,2.771194359234876,1.2,0.013167966105607238,9.302879352631122,0.25441923890629703,1.3043181675470878,0.0791648919782796,0.0791648919782796,0.8408560276541828,0.18484882189253252,0.3366680864173764,0.15181926452484382,0.8416702160434408,0.4572167531841085,0.8415412007288985,0.5795195618753051,0.14434209519336624,1.558737406453385,0.19505918512563547,0.0
