scenario,balances_budget,param_beta,param_alpha,param_delta,param_phi,param_p_informal_prod,param_p_sep_rate,param_p_match_eff,param_p_vac_cost,param_p_bargain,param_p_match_elast,param_tau_w,param_tau_c,param_p_ben_level,param_pop_savers,param_legacy_accounting,y_f,y_i,y_tot,k,inv,r,l_f,l_i,u,v,theta,w_f,w_i,p_find,p_fill,c_sav,c_spd,lf_sav,lf_spd,li_spd,gov_rev,gov_exp,lump_tax,unemployment_formal,unemployment_total,informal_employment_share,informal_output_share,replacement_rate,consumption,inequality_ratio,walras_gap
baseline,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.35,0.18,0.3,0.5,False,3.652086902319666,0.6061026136414878,4.258189515961154,36.31349500350664,0.9078373750876658,0.04022842639593902,0.7898109285340755,0.5050855113679065,0.21018907146592444,0.11871241420522448,0.564788708457994,2.710349658092344,1.2,0.263033489856528,0.46572016387273635,2.178847962938012,1.1299548329636468,0.39490546426703776,0.39490546426703776,0.5050855113679064,1.3448168263007734,0.06305672143977735,-1.2817601048609961,0.21018907146592444,0.13965257779599033,0.3900586145762662,0.14233810199607308,0.11068682562941062,3.3088027959016593,1.9282611121927125,0.0
labour_tax_40pct,False,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.4,0.18,0.4,0.5,False,2.685366231616332,0.7490150045695078,3.4343812361858403,26.70118095285405,0.6675295238213513,0.04022842639593883,0.5807451064485362,0.6241791704745898,0.4192548935514638,0.0321775496340173,0.07674937163271887,2.750789479977207,1.2,0.09696286931092778,1.2633702041879875,1.6436249580520204,1.1119646119405624,0.2903725532242681,0.2903725532242681,0.6241791704745897,1.1350091343454156,0.16770195742058555,-0.96730717692483,0.4192548935514638,0.2581334012730605,0.5180235658198232,0.21809314489539602,0.14541279982040445,2.7555895699925825,1.4781270378592557,-4.440892098500626e-16
vat_financed,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.35,0.21073057245019797,0.4,0.5,False,3.449483205238817,0.6277676968205068,4.0772509020593235,34.2989623435733,0.8574740585893326,0.04022842639593915,0.7459952641219776,0.5231397473504223,0.25400473587802225,0.08763756820025043,0.3450233630381426,2.7243388272457065,1.2,0.20558541283897663,0.5958593963860037,2.083093464134206,1.1060102304656978,0.37299763206098885,0.37299763206098885,0.5231397473504223,1.3833619992122006,0.10160189435120892,-1.2817601048609917,0.25400473587802225,0.16676390746146322,0.4122018088079506,0.153968375236225,0.14682461520559031,3.189103694599904,1.8834305567472884,8.881784197001252e-16
