scenario,param_beta,param_alpha,param_delta,param_phi,param_p_informal_prod,param_p_sep_rate,param_p_match_eff,param_p_vac_cost,param_p_bargain,param_p_match_elast,param_tau_w,param_tau_c,param_p_ben_level,param_pop_savers,param_legacy_accounting,y_f,y_i,y_tot,k,inv,r,l_f,l_i,u,v,theta,w_f,w_i,p_find,p_fill,c_sav,c_spd,lf_sav,lf_spd,li_spd,gov_rev,gov_exp,lump_tax,unemployment_formal,unemployment_total,informal_employment_share,informal_output_share,replacement_rate,consumption,inequality_ratio,walras_gap
baseline,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.35,0.0,0.3,0.5,False,3.652086902319656,0.6061026136414888,4.258189515961145,36.313495003506475,0.9078373750876619,0.04022842639593909,0.7898109285340744,0.5050855113679074,0.21018907146592547,0.11871241420522358,0.5647887084579869,2.7103496580923405,1.2,0.26303348985652647,0.4657201638727393,1.975456093004552,1.3333467028971024,0.39490546426703727,0.39490546426703727,0.5050855113679074,0.7492323230384729,0.06305672143977767,-0.6861756015986952,0.21018907146592547,0.13965257779599094,0.39005861457626695,0.1423381019960736,0.11068682562941076,3.3088027959016544,1.4815772137226357,-8.881784197001252e-16
benefits_+33pct,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.35,0.0,0.4,0.5,False,3.4494832052388245,0.627767696820506,4.0772509020593315,34.298962343573436,0.8574740585893362,0.04022842639593906,0.7459952641219785,0.5231397473504217,0.25400473587802147,0.08763756820025097,0.3450233630381459,2.7243388272457087,1.2,0.20558541283897763,0.5958593963860008,1.8500232951323963,1.3390803994675105,0.3729976320609893,0.3729976320609893,0.5231397473504217,0.7113203520461232,0.10160189435120856,-0.6097184576949146,0.25400473587802147,0.16676390746146275,0.41220180880794993,0.1539683752362245,0.14682461520559018,3.1891036945999067,1.3815625229583406,-8.881784197001252e-16
