instrument,rate,param_beta,param_alpha,param_delta,param_eps,param_eta,param_sep,param_gamma,param_sigma,param_tau_w,param_tau_c,param_rr,param_pop_savers,param_match_eff,param_vac_cost,param_z_i,param_omega,param_home_prod,y_f,y_i,y_tot,k,inv,r,l_f,l_i,u,v,theta,p_find,p_fill,w_f,w_i,s_w,p,pidx,cf_sav,ci_sav,cf_spd,ci_spd,inc_sav,inc_spd,gov_rev,gov_exp,lump_tax,unemployment,informal_share,informal_output_share,wage_gap,replacement_rate,real_c_sav,real_c_spd,inequality_ratio,walras_gap
tau_w,0.05,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.05,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.563529058785167,0.22089825729681253,3.865933494563416,35.432945089245614,0.8858236272311405,0.04022842639593902,0.7706591518919226,0.13876208032536813,0.09057876778270928,0.10893239767658212,1.2026261820860895,0.5955715887176425,0.4952258628567001,2.53420133196801,2.1793016872417517,2.7181605494682213,1.3689761045598514,1.2153431068228482,1.6928788290100676,0.14819721977278394,0.8304747380564338,0.0727010375240286,2.234333047443227,1.0960956688148247,0.6023209858741927,0.034431725094444435,-0.5678892607797482,0.09057876778270928,0.1525828465507096,0.07822287584706655,1.1628501674660012,0.15,1.8384380796664277,0.9018816683629692,2.0384471091461793,-4.440892098500626e-16
tau_w,0.06666666666666667,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.06666666666666667,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.547363978706056,0.2258205622881455,3.852451858718363,35.27221217943694,0.8818053044859236,0.04022842639593892,0.7671632446891118,0.1424068996011713,0.090429855709717,0.10812410548076305,1.1956682296148433,0.593846210488506,0.4966647066300322,2.53489719304045,2.1423672649762406,2.6627371275939495,1.3510190432659426,1.2138781093056348,1.6971372955115878,0.15254569424490286,0.8152148246166088,0.07327486804324267,2.242656892506993,1.0772535316591503,0.6321157543967216,0.034384558110842185,-0.5977311962858795,0.090429855709717,0.156565054927444,0.07919317131033649,1.18322251953778,0.15,1.8475140751898413,0.8874478610338918,2.0818283037354512,0.0
tau_w,0.08333333333333333,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.08333333333333333,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.530556108207359,0.23091994643282185,3.8383660252368395,35.10508786457306,0.8776271966143264,0.0402284263959389,0.7635283257618453,0.14619765287570788,0.09027402136244686,0.10728680407819267,1.1884571270780118,0.5920527522391132,0.498169213469869,2.535620511417682,2.1054367903646782,2.607290193784357,1.3329724079033878,1.2123697362722146,1.7009459972958698,0.15705585221524843,0.7999627752239106,0.07386409421757341,2.250486314257722,1.058414129795494,0.6615165948248007,0.03433509903221673,-0.6271814957925841,0.09027402136244686,0.16070515331953047,0.08019295580610684,1.204320416087387,0.15,1.8562706135980436,0.8730126611786747,2.1262814345577183,0.0
tau_w,0.09999999999999999,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.09999999999999999,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.5130717090989965,0.2362049229330011,3.8236419900190364,34.93123667848599,0.8732809169621498,0.04022842639593901,0.7597470987910802,0.15014198773660134,0.09011091347231838,0.1064190797815744,1.1809788146722742,0.590187080188827,0.499744002903732,2.5363729542918283,2.0685105186224266,2.551818227995454,1.3148340731582961,1.2108159063251727,1.7042812704284542,0.1617354751705949,0.784718905402479,0.07446944776240622,2.2577928381068912,1.0395776538102686,0.6905002345137244,0.034283232572657925,-0.6562170019410665,0.09011091347231838,0.16501130737766417,0.08122368195838678,1.2261832518893767,0.15,1.8646871306467179,0.8585761455392402,2.171836639457967,-4.440892098500626e-16
tau_w,0.11666666666666665,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.11666666666666665,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.4948749112846023,0.24168449434239833,3.8082434689661033,34.750301957000424,0.8687575489250108,0.04022842639593883,0.7558118064055093,0.15424802935237475,0.08994016424211591,0.1055194351663772,1.1732181729435402,0.5882447168537767,0.5013941399986185,2.537156327473769,2.0315887275656546,2.496319575574836,1.296601830142841,1.2092143990039588,1.7071179474997766,0.16659278378040634,0.7694835508470087,0.075091710561992,2.264546045337997,1.0207443103596459,0.7190417821528208,0.03422883852013716,-0.6848129436326836,0.08994016424211591,0.16949218424074208,0.08228690214666788,1.2488533200880225,0.15,1.8727415479036016,0.844138401924789,2.218524288947654,0.0
tau_w,0.1333333333333333,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.1333333333333333,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.475927562671481,0.24736818262475416,3.7921317261676255,34.56190434555367,0.8640476086388419,0.04022842639593897,0.7517141977226841,0.15852441296309105,0.08976138931422484,0.10458628353760595,1.1651589211869713,0.5862208043191351,0.5031251906151479,2.53797259020566,1.9946717201833513,2.4407924319422665,1.278273382376793,1.207562842861192,1.709429250927464,0.17163646348819195,0.7542570691802267,0.07573171913656221,2.2707134238351983,1.0019143237901746,0.7471146012866862,0.03417179186074227,-0.7129428094259439,0.08976138931422484,0.17415698598377244,0.08338427732195489,1.272376083003958,0.15,1.8804101478105966,0.8296995305157329,2.2663748485451745,4.440892098500626e-16
tau_w,0.14999999999999997,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.14999999999999997,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.456189068511813,0.2532660607451176,3.7752653885962406,34.36564020173271,0.859141005043318,0.04022842639593893,0.7474454936044398,0.16298031841848162,0.08957418797707865,0.10361794303173988,1.1567835039515506,0.5841100626633576,0.5049432851247002,2.5388238719289595,1.9577598275709691,2.3852348251178905,1.2598463416128263,1.205858702293944,1.7111866786396213,0.17687569115132687,0.7390398419046478,0.07639036959379074,2.2762602067847846,0.9830879379527662,0.7746901734281553,0.034111963011728884,-0.7405782104164264,0.08957418797707865,0.1790154851347496,0.0845175867763486,1.2968004737736027,0.15,1.8876674376977844,0.8152596453320826,2.315418711702422,0.0
tau_w,0.16666666666666663,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.16666666666666663,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.4356162196375877,0.25938878575443863,3.7576002463704126,34.161079887374385,0.8540269971843596,0.04022842639593911,0.7429963495105203,0.16762550680511704,0.08937814368436271,0.10261263033617525,1.148072963996096,0.5819067427648519,0.5068551921468561,2.5397124913177977,1.9208534122862733,2.3296445957342664,1.2413182235165896,1.2040992629776315,1.712359881734381,0.18232016262870818,0.7238322765746997,0.07706862312573043,2.2811491984667813,0.9642654182369409,0.8017379499710483,0.034049218194895925,-0.7676887317761524,0.08937814368436271,0.18407806230714402,0.08568873898809214,1.3221792329769375,0.15,1.8944860017816971,0.8008188758893493,2.365685998195005,0.0
tau_w,0.1833333333333333,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.1833333333333333,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.4141630090943793,0.2657476332869275,3.7390890376318784,33.947765945317066,0.8486941486329267,0.04022842639593899,0.7383568158432327,0.17247035917511833,0.08917282498164916,0.1015684540094379,1.1390067997771707,0.5796045725776047,0.508868404201797,2.540640977946637,1.883952872200982,2.274019374096939,1.2226864432191453,1.2022816157290497,1.712916533736581,0.18798012116595228,0.7086348092199537,0.07776751212097519,2.2853405862282,0.9454470538571416,0.8282251920821847,0.0339834199901462,-0.7942417720920385,0.08917282498164916,0.18935574596974827,0.08689978368188,1.348569285057784,0.15,1.9008363401135397,0.7863773690690874,2.4172063119819276,-4.440892098500626e-16
tau_w,0.19999999999999996,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.19999999999999996,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.3917804367431184,0.2723545333361477,3.719681217082883,33.7252111565122,0.843130278912805,0.04022842639593893,0.7335162956900823,0.17752591734906512,0.08895778696085267,0.10048340738678938,1.1295628052326523,0.5771966957867496,0.5109912375946785,2.541612097030963,1.8470586449358797,2.2183565537687975,1.203948310766903,1.2004026386006525,1.7128221911143218,0.19386638636437895,0.6934479070549652,0.07848814697176872,2.2887917377150644,0.9266331604278437,0.8541167977329082,0.03391442811972096,-0.8202023696131873,0.08895778696085267,0.19486025434195425,0.08815292526516977,1.3760321601045833,0.15,1.9066866933774667,0.771935291235322,2.470008451519571,4.440892098500626e-16
tau_w,0.21666666666666662,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.21666666666666662,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.3684163014981676,0.27922210710605966,3.699322707252412,33.492896474202574,0.8373224118550645,0.04022842639593911,0.7284634998925673,0.1828039267116363,0.08873257339579645,0.09935536105787156,1.119716889249809,0.5746756015406558,0.5132329493803371,2.542628877767015,1.8101712129862058,2.1626532610437508,1.18510102650487,1.1984589769801248,1.7120401447830345,0.1999903834388274,0.6782720715176257,0.07923172366723226,2.291456982444099,0.9078240828709381,0.8793751150257807,0.03384210052720998,-0.8455330144985707,0.08873257339579645,0.20060403935741103,0.08945053782561654,1.4046344674614992,0.15,1.9120028523780672,0.7574928306336124,2.524120064316323,0.0
tau_w,0.23333333333333328,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.23333333333333328,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.3440149810081645,0.28636370464308164,3.6779556316128534,33.25026883324219,0.8312567208310548,0.04022842639593897,0.7231863993993031,0.18831688084617107,0.08849671975452572,0.09818205490567777,1.109442871758608,0.5720330436921347,0.5156038749299363,2.543694645902615,1.7732911096667525,2.1069063195384423,1.166141676442221,1.1964470214368288,1.7105312624177034,0.20636417236598942,0.663107841685183,0.07999953227709221,2.2932873768217297,0.8890201987064212,0.90395974098695,0.03376629483292968,-0.8701934461540202,0.08849671975452572,0.2066003325796656,0.09079518190333605,1.4344484287075918,0.15,1.9167479510022023,0.7430502001156603,2.579567236108474,8.881784197001252e-16
tau_w,0.24999999999999994,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.24999999999999994,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.3185171987772213,0.2937934428389018,3.6555180287610134,32.996738834529516,0.824918470863238,0.04022842639593886,0.7176721749030041,0.19407806775831163,0.08824975733868437,0.09696108969957194,1.0987122528558952,0.5692599476552764,0.5181155904793021,2.544813061302557,1.7364189260347775,2.051112208959381,1.1470672276664213,1.1943628830192596,1.708253821523725,0.21300047639342493,0.6479557981260194,0.08079296644547691,2.294230451776703,0.8702219217867827,0.9278273050365934,0.033686870269839755,-0.8941404347667535,0.08824975733868437,0.21286319287595196,0.09218962328521575,1.4655524788098218,0.15,1.9208822413980755,0.7286076402398969,2.6363740033876364,0.0
tau_w,0.2666666666666666,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.2666666666666666,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.291859778982345,0.30152624324392185,3.6319435470228454,32.731678307105355,0.8182919576776339,0.0402284263959389,0.7119071638165647,0.200101617312183,0.08799121887125229,0.09568991823933169,1.087493950724152,0.5663463025790713,0.5207811061403573,2.5459881614360795,1.6995553189853938,1.9952670168878017,1.127874523894715,1.192202365664449,1.705163333393631,0.21991270921213676,0.6328165672563718,0.08161353403178503,2.2942299422733923,0.8514297065471107,0.9509312364282696,0.0336036902334809,-0.9173275461947887,0.08799121887125229,0.2194075555550323,0.09363685410784311,1.4980319457656677,0.15,1.9243628500894236,0.7141654228077162,2.694561776071234,8.881784197001252e-16
tau_w,0.28333333333333327,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.28333333333333327,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.2639753895826216,0.30957786893859923,3.607161119051395,32.45441775383093,0.8113604438457734,0.04022842639593915,0.7058768047171134,0.20640254933627725,0.08772064594660939,0.09436583605220857,1.0757540033351296,0.5632810360319493,0.523615096281887,2.5472244119177145,1.6627010207594115,1.9393663821514882,1.108560281280441,1.1899609353303602,1.7012123583120786,0.22711499988297915,0.6176908262843681,0.08246286905562007,2.293225498127777,0.832644052856732,0.9732215150741623,0.03351662561765911,-0.9397048894565032,0.08772064594660939,0.22624928254618557,0.09514011660200623,1.5319798208545703,0.15,1.927143513741588,0.6997238549058513,2.7541486548302507,8.881784197001252e-16
tau_w,0.29999999999999993,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.29999999999999993,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.2347922747612943,0.3179649594620484,3.5810946162847412,32.16424369100197,0.8041060922750493,0.04022842639593904,0.6995655794831477,0.21299682163830072,0.08743759887855165,0.0929859716507289,1.0634552279950387,0.5600518677535704,0.5266341760427955,2.5485267654905988,1.625856850162389,1.8834054280051264,1.0891210846293948,1.1876336854048861,1.6963503126813786,0.23462221433647543,0.6025793088404541,0.08334274512557303,2.2911523757739474,0.8138655115757003,0.9946444053629894,0.03342555915783295,-0.9612188462051564,0.08743759887855165,0.23340521303151304,0.09670292986637814,1.5674976337775706,0.15,1.929174293328377,0.6852832835389294,2.8151486249099276,-8.881784197001252e-16
tau_w,0.3166666666666666,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.3166666666666666,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.204233978315405,0.3267050624781677,3.5536624835340476,31.860395897950013,0.7965098974487503,0.04022842639593901,0.6929569534739982,0.21990137688327258,0.08714166964272928,0.0915472763650288,1.0505568316554184,0.5566451382220802,0.5298572351815988,2.5499007311667943,1.5890237258683721,1.827378682893828,1.0695533842301377,1.1852152978789867,1.6905232691418766,0.2424499719206599,0.5874828114137044,0.08425509055750781,2.2879411109444954,0.7950946909408445,1.0151421728490957,0.033330391070563584,-0.9818117817785321,0.08714166964272928,0.24089321373362332,0.09832912012261308,1.6046964495595057,0.15,1.9304012655244174,0.6708441009525559,2.8775706051277345,0.0
tau_w,0.33333333333333326,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.33333333333333326,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.17221906034227,0.33581666044775615,3.524777354511049,31.542064599996266,0.7885516149999069,0.04022842639593915,0.6860333142595972,0.22713418691628762,0.08683249882411515,0.0900465137693637,1.0370139635363802,0.5530456067542658,0.5333058437017506,2.5513524556554708,1.5522026822792518,1.771279985996369,1.0498534935661035,1.1826999996958307,1.6836737512791458,0.2506146550306696,0.5724022007393655,0.08520200541708653,2.2835171726577874,0.7763322639332049,1.034652784069597,0.03323104636584105,-1.001421737703756,0.08683249882411515,0.24873222779370396,0.10002285498049139,1.6436980072145404,0.15,1.9307661902807705,0.6564067507676196,2.9414173270199933,4.440892098500626e-16
tau_w,0.3499999999999999,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.3499999999999999,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.138660810499798,0.34531919004238193,3.4943456498073964,31.208387617335553,0.7802096904333887,0.04022842639593911,0.6787759096093327,0.23471429262309504,0.08650979776757238,0.08848024872684516,1.0227771999255721,0.5492362125306428,0.5370047480239204,2.5528888197436683,1.5153948885369248,1.7151023739899884,1.0300175882607165,1.1800815136014946,1.6757405251689341,0.25913340928876444,0.5573384223152098,0.08618578075361748,2.2778005994761106,0.7575789768124596,1.0531095902603802,0.033127484327868176,-1.019982105932512,0.08650979776757238,0.25694232083659996,0.10178868233232827,1.6846360239530815,0.15,1.9302061537465183,0.6419717350714205,3.0066840147281244,4.440892098500626e-16
tau_w,0.3666666666666666,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.3666666666666666,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.103466962283605,0.35523305134346644,3.4622671597448518,30.858447524031437,0.771461188100786,0.0402284263959389,0.6711647857007889,0.24266183678040382,0.08617337751880746,0.08684483607761566,1.0077919489538596,0.5451977902200879,0.5409824823328183,2.554517552987512,1.4786016714525345,1.658837944485487,1.0100417067170129,1.1773530027251569,1.6666583908436647,0.26802413101589817,0.5422925102655659,0.08720892032756829,2.27070561974504,0.7388356590472841,1.0704409964290937,0.033019710820801955,-1.0374212856082918,0.08617337751880746,0.26554472239114263,0.10363157460318241,1.7276576932839725,0.15,1.9286531859936296,0.6275396226426061,3.073356831034761,-4.440892098500626e-16
tau_w,0.38333333333333325,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.38333333333333325,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.0665394142103457,0.3655796029659357,3.428434615661016,30.491268875681467,0.7622817218920368,0.04022842639593906,0.6631787268220425,0.25099808650275535,0.08582318667520224,0.08513640899024574,0.9919977606103628,0.540908729633041,0.5452721277316466,2.556247370977244,1.4418245433384909,1.6024776902617777,0.9899217530590491,1.1745070080075108,1.6563579778064121,0.2773054377944484,0.5272655988245508,0.08827416517148737,2.2621402584819816,0.7201032349258436,1.086570118148164,0.03290779429610624,-1.0536623238520577,0.08582318667520224,0.2745618602925321,0.10555697921072803,1.7729254109229884,0.15,1.926033853403381,0.6131110585261307,3.141411048812935,8.881784197001252e-16
tau_w,0.3999999999999999,0.985,0.4,0.025,0.5,0.5,0.07,0.85,2.0,0.3999999999999999,0.2,0.15,0.5,0.5430860465116281,1.4169509510457283,1.1837557670274572,0.897721351607031,0.20459517856268808,3.027773965573341,0.3763811380569428,3.392733254619967,30.105815581978423,0.7526453895494607,0.04022842639593913,0.6547951982253977,0.25974544077310424,0.08545936100149798,0.08335086697894271,0.9753275241255511,0.5363445658688508,0.5499122629085251,2.558088140634643,1.4050652360263327,1.5460112966581698,0.969653503176907,1.171535377475988,1.6447655500094613,0.2869966166950495,0.5122589357781191,0.08938452136189322,2.252005934789629,0.7013827372020939,1.1014144296074762,0.032791886682622014,-1.068622542924854,0.08545936100149798,0.28401738500931695,0.10757087623957814,1.820618769181975,0.15,1.9222688260950842,0.5986867752241392,3.210808899821474,-8.881784197001252e-16
